Año,Municipio,Subregión,Sexo,Enfermedades Transmisibles,Neoplasias,Enfermedades Sistema Circulatorio,Causas Externas,Todas las demás enfermedades,"Signos, síntomas y afecciones mal definidas",Enfermedades originadas en el periodo perinatal
2018,Algarrobo,Norte,Total,10.27,38.5,135.73,28.73,154.93,201.71,0
2019,Algarrobo,Norte,Total,14.83,91.96,147.38,27.84,128,0,0
2020,Algarrobo,Norte,Total,53.93,90.21,177.69,46.88,113.25,0,0
2021,Algarrobo,Norte,Total,246.39,52.8,146.66,41.07,88,11.73,9.52
2018,Algarrobo,Norte,Hombre,0,21.41,121.76,54.73,116.36,229.82,0
2019,Algarrobo,Norte,Hombre,14.12,97.03,122.77,38.73,155.93,0,0
2020,Algarrobo,Norte,Hombre,84.48,64.56,181.71,78.91,101.45,0,0
2021,Algarrobo,Norte,Hombre,261.04,45.4,147.54,56.75,102.15,22.7,13.51
2018,Algarrobo,Norte,Mujer,20.68,57.14,150.57,0,199.3,171.05,0
2019,Algarrobo,Norte,Mujer,16.87,82.34,181.91,15.62,94.48,0,0
2020,Algarrobo,Norte,Mujer,17.98,114.76,171.82,12.96,127.05,0,0
2021,Algarrobo,Norte,Mujer,230.72,60.72,145.72,24.29,72.86,0,5.99
2018,Aracataca,Norte,Total,29.2,54.73,128.59,81.17,85.48,12.92,0
2019,Aracataca,Norte,Total,32.87,76.52,89.15,51.75,100.42,0,0
2020,Aracataca,Norte,Total,38.18,75.66,196.15,44.42,105.95,21.74,0
2021,Aracataca,Norte,Total,192.27,37.98,99.7,66.46,87.83,16.62,13.05
2018,Aracataca,Norte,Hombre,45.04,38.59,140.17,152.13,99.99,6.19,0
2019,Aracataca,Norte,Hombre,31.62,69.37,95.31,92.28,92.28,0,0
2020,Aracataca,Norte,Hombre,45.44,90.98,209.03,82.87,123.19,17.82,0
2021,Aracataca,Norte,Hombre,215.71,32.83,98.48,131.3,93.79,14.07,9.26
2018,Aracataca,Norte,Mujer,14.99,69.92,118.93,11.7,73.24,19.56,0
2019,Aracataca,Norte,Mujer,32.94,81.25,81.39,10.74,111.46,0,0
2020,Aracataca,Norte,Mujer,31.15,59.75,182.1,5.79,89.95,25.35,0
2021,Aracataca,Norte,Mujer,168.24,43.26,100.95,0,81.72,19.23,17.3
2018,Ariguaní,Centro,Total,26.89,42.58,105.33,43.64,66.06,14.69,0
2019,Ariguaní,Centro,Total,34.3,60.46,122.4,66.02,103.24,2.78,0
2020,Ariguaní,Centro,Total,24.44,58.21,164,37.07,177.62,3.44,0
2021,Ariguaní,Centro,Total,99.7,45.1,118.69,30.86,140.05,4.75,3.25
2018,Ariguaní,Centro,Hombre,34.36,51.31,133.16,68.75,67.28,18.9,0
2019,Ariguaní,Centro,Hombre,51.68,62.74,131.16,101.44,91.9,0,0
2020,Ariguaní,Centro,Hombre,27.02,80.32,193.34,60.13,188.62,6.77,0
2021,Ariguaní,Centro,Hombre,112.54,37.51,135.99,46.89,164.13,4.69,6.23
2018,Ariguaní,Centro,Mujer,19.49,37.01,80.61,20.95,66.1,9.56,0
2019,Ariguaní,Centro,Mujer,16.62,56.62,112.44,28.37,115.89,5.66,0
2020,Ariguaní,Centro,Mujer,21.76,33.45,131.13,13.92,162.79,0,0
2021,Ariguaní,Centro,Mujer,86.53,52.88,100.95,14.42,115.37,4.81,0
2018,Cerro de San Antonio,Río,Total,39.33,72.38,165.76,0,62.53,55.7,0
2019,Cerro de San Antonio,Río,Total,30.02,44.8,142.26,20.32,64.09,57.43,0
2020,Cerro de San Antonio,Río,Total,8.9,28.9,187.33,0,55.76,41.28,0
2021,Cerro de San Antonio,Río,Total,148.62,89.17,138.71,19.82,79.26,89.17,3.25
2018,Cerro de San Antonio,Río,Hombre,45.46,106.58,253.94,0,50.95,87.77,0
2019,Cerro de San Antonio,Río,Hombre,59.59,41.65,197.6,39.63,87.83,65.45,0
2020,Cerro de San Antonio,Río,Hombre,0,22.19,233.41,0,47.58,65.05,0
2021,Cerro de San Antonio,Río,Hombre,172.74,115.16,134.36,19.19,76.78,95.97,6.23
2018,Cerro de San Antonio,Río,Mujer,30.74,38.31,69.67,0,76.63,20.68,0
2019,Cerro de San Antonio,Río,Mujer,0,45.76,80.24,0,34.95,47.87,0
2020,Cerro de San Antonio,Río,Mujer,17.65,38.48,134.4,0,66.41,14.95,0
2021,Cerro de San Antonio,Río,Mujer,122.88,61.44,143.35,20.48,81.92,81.92,0
2018,Chibolo,Centro,Total,0,73.99,210.17,37.55,73.28,17.7,0
2019,Chibolo,Centro,Total,0,46.37,110.57,5.46,98.52,4.6,0
2020,Chibolo,Centro,Total,13.31,74.02,128.97,18.89,74.21,0,0
2021,Chibolo,Centro,Total,105.26,58.94,126.31,29.47,50.52,4.21,5.26
2018,Chibolo,Centro,Hombre,0,63.6,229.02,59.42,65.73,17.95,0
2019,Chibolo,Centro,Hombre,0,66.24,131.93,9.49,72.06,7.78,0
2020,Chibolo,Centro,Hombre,8.48,45.29,106.38,18.02,24.52,0,0
2021,Chibolo,Centro,Hombre,126.03,63.02,157.54,55.14,55.14,0,5.24
2018,Chibolo,Centro,Mujer,0,87.48,186.1,9.18,82.76,18.31,0
2019,Chibolo,Centro,Mujer,0,21.46,82.11,0,128.83,0,0
2020,Chibolo,Centro,Mujer,20.13,112.04,162.25,21.15,134.66,0,0
2021,Chibolo,Centro,Mujer,81.4,54.27,90.45,0,45.22,9.04,5.29
2018,Ciénaga,Norte,Total,59.42,92.22,212.08,56.97,157.33,8.08,0
2019,Ciénaga,Norte,Total,39.6,99.74,144.68,68.79,152.99,4.45,0
2020,Ciénaga,Norte,Total,69.73,80.34,210.88,66.98,158.58,6.93,0
2021,Ciénaga,Norte,Total,271.69,75.25,148.12,92.68,144.16,7.92,6.77
2018,Ciénaga,Norte,Hombre,75.79,94.45,218.49,101.5,151.08,16.67,0
2019,Ciénaga,Norte,Hombre,48.61,99.94,156.03,124.13,179.27,5.27,0
2020,Ciénaga,Norte,Hombre,94.58,104.59,253.2,112.49,171.26,9.77,0
2021,Ciénaga,Norte,Hombre,303.1,70.19,181.86,149.95,162.72,6.38,8.24
2018,Ciénaga,Norte,Mujer,43.98,90.29,206.47,15.13,164.14,0,0
2019,Ciénaga,Norte,Mujer,31.35,100.17,135.06,15.28,129.99,3.42,0
2020,Ciénaga,Norte,Mujer,46.69,59.95,174.54,21.49,148.43,4.76,0
2021,Ciénaga,Norte,Mujer,240.72,80.24,114.85,36.19,125.87,9.44,5.34
2018,Concordia,Río,Total,22.05,82.6,162.54,24.59,27.27,63.71,0
2019,Concordia,Río,Total,19.89,100.82,82.28,0,22.9,47.67,0
2020,Concordia,Río,Total,13.27,42.78,103.5,12.58,49.67,48.83,0
2021,Concordia,Río,Total,114.03,61.4,219.28,0,35.08,52.63,6.77
2018,Concordia,Río,Hombre,40.96,113.2,233.81,45.33,52.25,62.92,0
2019,Concordia,Río,Hombre,18.93,114.33,74.56,0,7.51,56.5,0
2020,Concordia,Río,Hombre,0,34,79.57,24.87,65.08,67.28,0
2021,Concordia,Río,Hombre,133.33,100,250,0,50,50,8.24
2018,Concordia,Río,Mujer,0,50.01,85.14,0,0,64.53,0
2019,Concordia,Río,Mujer,20.95,87.31,91.82,0,40.67,38.32,0
2020,Concordia,Río,Mujer,27.22,52.19,129.13,0,31.91,30.2,0
2021,Concordia,Río,Mujer,92.58,18.52,185.15,0,18.52,55.55,5.34
2018,El Banco,Sur,Total,60.21,79.97,191.54,56.22,185.21,23.49,0
2019,El Banco,Sur,Total,43.04,69.57,119.03,58.98,120.44,7.04,0
2020,El Banco,Sur,Total,55.51,45.11,146.15,40.81,148.35,11.52,0
2021,El Banco,Sur,Total,152.58,70.64,202.03,63.57,138.45,24.02,8.21
2018,El Banco,Sur,Hombre,54.22,55.68,213.18,94.85,174.1,24.71,0
2019,El Banco,Sur,Hombre,49.68,73.81,129.21,110.86,132.54,9.53,0
2020,El Banco,Sur,Hombre,68.27,46.61,176.24,48.79,145.41,19.77,0
2021,El Banco,Sur,Hombre,187.62,61.61,193.22,86.81,156.82,14,5.49
2018,El Banco,Sur,Mujer,66.25,101.78,170.53,17.53,196.54,22.06,0
2019,El Banco,Sur,Mujer,36.31,65.58,108.91,7.56,109.15,4.56,0
2020,El Banco,Sur,Mujer,43.43,44.03,117.53,32.61,151.04,3.4,0
2021,El Banco,Sur,Mujer,116.9,79.83,210.99,39.92,119.75,34.21,10.91
2018,El Piñón,Río,Total,26.87,37.75,131.57,30.44,88.65,20.53,0
2019,El Piñón,Río,Total,31,30.14,154.33,4.03,70,14.03,0
2020,El Piñón,Río,Total,5.91,30.1,109.7,2.2,63.81,7.52,0
2021,El Piñón,Río,Total,61.33,40.89,118.58,12.27,110.4,4.09,3.72
2018,El Piñón,Río,Hombre,28.96,39.78,188.75,37.09,61.54,30.63,0
