ITEM,Departamento,Municipio,Latitud,Longitud,Geolocalizacion,Anio,Mes,Contrato,Campo,TipoProd,TipoHidrocarburo,PrecioHidrocarburoUSD,PorcRegalia,ProdGravableBlsKpc,VolumenRegaliaBlsKpc,RegaliasCOP,TrmPromedio,RegimenReg
1,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,NARE,NARE SUR,B,O,39.9145,0.2,"5,807.14","1,161.428","153,499,542.44","3,311.19",Ley 141 20%
2,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,NARE,UNDERRIVER,P,O,39.4264,0.06,"31,007.96","1,860.4776","242,882,190.45","3,311.19",Ley 756 8% variable
3,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1949,0.2,"3,053.79",610.758,"8,483,495.9","3,311.19",Ley 141 20%
4,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1949,0.12,"3,053.79",366.4548,"5,090,097.83","3,311.19",ARTICULO 39 LEY 756
5,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.3847,0.2,"17,598.22","3,519.644","552,231,245.24","3,311.19",Ley 141 20%
6,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,B,O,47.3847,0.12,"17,598.22","2,111.7864","331,338,747.22","3,311.19",ARTICULO 39 LEY 756
7,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,1,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,I,O,47.3847,0.06,"23,216.24","1,392.9744","218,557,327.64","3,311.19",Ley 756 8% variable
8,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,2,NARE,NARE SUR,B,O,27.188,0.2,"5,364.13","1,072.826","99,493,483.51","3,411.05",Ley 141 20%
9,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,2,NARE,UNDERRIVER,P,O,26.523,0.06,"28,541.89","1,712.5134","154,933,277.79","3,411.05",Ley 756 8% variable
10,ANTIOQUIA,PUERTO NARE,6.126539139,-74.70317722,POINT (-74.70317722 6.126539139),2020,2,OPERACION-DIRECTA ECOPETROL,AREA TECA-COCORNA,QB,G,4.1172,0.2,"2,515.16",503.032,"7,064,568.41","3,411.05",Ley 141 20%
